"Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ"
"4,Big Ten Conference,14,289,189,.605,13.01,7.99,4,4,1,Michigan State,Michigan"
"5,Southeastern Conference,14,286,193,.597,13.00,9.34,4,8,0,Auburn Tennessee,Kentucky"
"6,Pacific-12 Conference,12,231,172,.573,8.62,6.15,1,3,0,Arizona,Arizona"
"7,American Athletic Conference,12,224,168,.571,5.58,3.40,3,3,0,Cincinnati,Cincinnati"
"8,Mountain West Conference,11,198,163,.548,4.43,3.05,1,2,0,Nevada,San Diego State"
"9,Missouri Valley Conference,10,186,145,.562,2.43,1.61,0,1,1,Loyola (IL),Loyola (IL)"
"10,Atlantic 10 Conference,14,232,224,.509,2.26,1.99,0,3,0,Rhode Island,Davidson"
"11,West Coast Conference,10,180,159,.531,1.83,1.43,2,1,0,Gonzaga,Gonzaga"
"12,Conference USA,14,245,221,.526,0.22,0.20,0,1,0,Middle Tennessee,Marshall"
"13,Mid-American Conference,12,219,181,.548,-2.01,-1.88,0,1,0,Buffalo (East),Buffalo"
"14,Summit League,8,134,122,.523,-2.89,-1.41,0,1,0,South Dakota State,South Dakota State"
"15,Sun Belt Conference,12,201,194,.509,-2.95,-2.67,0,1,0,Louisiana,Georgia State"
"16,Colonial Athletic Association,10,167,156,.517,-3.06,-2.14,0,1,0,College of Charleston Northeastern,College of Charleston"
"17,Big Sky Conference,12,198,195,.504,-3.56,-2.00,0,1,0,Montana,Montana"
"18,Western Athletic Conference,8,133,130,.506,-3.80,-1.77,0,1,0,New Mexico State,New Mexico State"
"19,Big West Conference,9,139,148,.484,-4.19,-1.67,0,1,0,UC-Davis,Cal State Fullerton"
"20,Ivy Group,8,109,125,.466,-4.65,-3.08,0,1,0,Harvard Pennsylvania,Pennsylvania"
"21,Metro Atlantic Athletic Conference,11,164,191,.462,-4.80,-3.48,0,1,0,Canisius Rider,Iona"
"22,Southern Conference,10,168,161,.511,-5.23,-3.38,0,1,0,North Carolina-Greensboro,North Carolina-Greensboro"
"23,Ohio Valley Conference,12,190,191,.499,-5.25,-3.54,0,1,0,Murray State,Murray State"
"24,America East Conference,9,145,147,.497,-5.62,-4.41,0,1,0,Vermont,Maryland-Baltimore County"
"25,Horizon League,10,154,177,.465,-5.88,-3.58,0,1,0,Northern Kentucky,Wright State"
"26,Big South Conference,10,164,166,.497,-7.37,-5.25,0,1,0,North Carolina-Asheville,Radford"
"27,Patriot League,10,145,169,.462,-7.77,-5.84,0,1,0,Bucknell,Bucknell"
"28,Atlantic Sun Conference,8,118,140,.457,-9.15,-4.72,0,1,0,Florida Gulf Coast,Lipscomb"
"29,Southland Conference,13,201,215,.483,-9.29,-5.77,0,1,0,Nicholls State Southeastern Louisiana,Stephen F. Austin"
"30,Northeast Conference,10,146,174,.456,-9.85,-6.89,0,1,0,Wagner,Long Island University"
"31,Southwest Athletic Conference,10,116,211,.355,-15.97,-8.63,0,1,0,Grambling,Texas Southern"
"32,Mid-Eastern Athletic Conference,13,162,265,.379,-16.74,-9.52,0,1,0,Bethune-Cookman Hampton Savannah State,North Carolina Central"
"Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ"
"1,Big 12 Conference,10,215,131,.621,17.44,11.26,4,6,0,Kansas,Iowa State"
"2,Atlantic Coast Conference,15,320,196,.620,14.66,9.67,6,9,1,North Carolina,Duke"
"3,Big East Conference,10,203,135,.601,13.19,9.11,2,7,0,Villanova,Villanova"
"4,Big Ten Conference,14,288,192,.600,12.64,8.75,3,7,0,Purdue,Michigan"
"5,Southeastern Conference,14,274,202,.576,11.72,8.82,2,5,1,Kentucky,Kentucky"
"6,Pacific-12 Conference,12,238,168,.586,9.33,6.73,3,4,1,Arizona Oregon,Arizona"
"7,American Athletic Conference,11,199,163,.550,6.20,4.11,2,2,0,Southern Methodist,Southern Methodist"
"8,Atlantic 10 Conference,14,250,211,.542,3.80,2.66,0,3,0,Dayton,Rhode Island"
"9,Missouri Valley Conference,10,172,155,.526,3.48,2.62,1,1,0,Illinois State Wichita State,Wichita State"
"10,West Coast Conference,10,184,147,.556,3.01,1.94,2,2,1,Gonzaga,Gonzaga"
"11,Mountain West Conference,11,203,162,.556,2.95,1.92,0,1,0,,Nevada"
"12,Colonial Athletic Association,10,171,156,.523,-1.22,-1.27,0,1,0,North Carolina-Wilmington,North Carolina-Wilmington"
"13,Mid-American Conference,12,211,185,.533,-1.26,-1.67,0,1,0,Akron (East),Kent State"
"14,Sun Belt Conference,12,217,189,.534,-2.80,-2.60,0,1,0,Texas-Arlington,Troy"
"15,Ivy Group,8,111,117,.487,-3.17,-2.50,0,1,0,Princeton,Princeton"
"16,Conference USA,14,224,228,.496,-3.26,-2.42,0,1,0,Middle Tennessee,Middle Tennessee"
"17,Summit League,9,143,141,.504,-3.30,-1.85,0,1,0,South Dakota,South Dakota State"
"18,Southern Conference,10,172,160,.518,-3.60,-2.17,0,1,0,East Tennessee State Furman North Carolina-Greensboro,East Tennessee State"
"19,Horizon League,10,169,164,.508,-3.63,-2.42,0,1,0,Oakland Valparaiso,Northern Kentucky"
"20,Metro Atlantic Athletic Conference,11,179,186,.490,-4.32,-3.32,0,1,0,Monmouth,Iona"
"21,Western Athletic Conference,8,139,124,.529,-4.37,-2.66,0,1,0,Cal State Bakersfield,New Mexico State"
"22,Patriot League,10,151,169,.472,-5.00,-3.52,0,1,0,Bucknell,Bucknell"
"23,Ohio Valley Conference,12,182,196,.481,-5.19,-3.34,0,1,0,Belmont (East),Jacksonville State"
"24,America East Conference,9,148,147,.502,-6.66,-5.01,0,1,0,Vermont,Vermont"
"25,Atlantic Sun Conference,8,131,131,.500,-7.21,-4.85,0,1,0,Florida Gulf Coast,Florida Gulf Coast"
"26,Big West Conference,9,126,160,.441,-7.63,-3.78,0,1,0,UC-Irvine,UC-Davis"
"27,Big Sky Conference,12,174,210,.453,-7.72,-5.16,0,1,0,North Dakota,North Dakota"
"28,Southland Conference,13,202,209,.491,-9.35,-5.82,0,1,0,New Orleans,New Orleans"
"29,Big South Conference,10,160,165,.492,-9.36,-6.04,0,1,0,North Carolina-Asheville Winthrop,Winthrop"
"30,Northeast Conference,10,133,186,.417,-10.26,-6.52,0,1,0,Mount St. Mary's,Mount St. Mary's"
"31,Mid-Eastern Athletic Conference,13,156,259,.376,-16.34,-9.42,0,1,0,North Carolina Central,North Carolina Central"
"32,Southwest Athletic Conference,10,123,199,.382,-17.06,-10.16,0,1,0,Texas Southern,Texas Southern"
"Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ"
"1,Big 12 Conference,10,213,129,.623,15.01,10.12,5,7,1,Kansas,Kansas"
"2,Atlantic Coast Conference,15,317,200,.613,13.96,9.24,5,7,2,North Carolina,North Carolina"
"3,Pacific-12 Conference,12,241,160,.601,11.85,8.52,4,7,0,Oregon,Oregon"
"4,Big East Conference,10,206,134,.606,11.63,7.92,3,5,1,Villanova,Seton Hall"
"5,Big Ten Conference,14,279,196,.587,10.93,7.12,5,7,0,Indiana,Michigan State"
"6,Southeastern Conference,14,263,204,.563,10.33,7.50,2,3,0,Kentucky Texas A&M,Kentucky"
"7,American Athletic Conference,11,198,161,.552,7.57,4.49,1,4,0,Temple,Connecticut"
"8,Atlantic 10 Conference,14,260,203,.562,4.96,3.51,0,3,0,Dayton St. Bonaventure Virginia Commonwealth,Saint Joseph's"
"9,Mountain West Conference,11,203,165,.552,2.88,2.28,0,1,0,San Diego State,Fresno State"
"10,West Coast Conference,10,170,152,.528,2.04,1.59,0,1,0,Gonzaga Saint Mary's (CA),Gonzaga"
"11,Missouri Valley Conference,10,169,159,.515,2.02,2.01,0,2,0,Wichita State,Northern Iowa"
"12,Colonial Athletic Association,10,174,146,.544,1.22,0.61,0,1,0,Hofstra North Carolina-Wilmington,North Carolina-Wilmington"
"13,Mid-American Conference,12,224,179,.556,-0.40,-0.97,0,1,0,Akron (East) Ball State (West) Central Michigan (West),Buffalo"
"14,Big West Conference,9,150,143,.512,-0.72,0.08,0,1,0,Hawaii UC-Irvine,Hawaii"
"15,Ivy Group,8,123,113,.521,-1.33,-1.85,0,1,0,Yale,"
"16,Summit League,9,155,131,.542,-2.15,-1.41,0,1,0,Fort Wayne South Dakota State,South Dakota State"
"17,Horizon League,10,168,163,.508,-2.26,-0.91,0,1,0,Valparaiso,Green Bay"
"18,Sun Belt Conference,11,181,175,.508,-2.91,-2.34,0,1,0,Little Rock,Little Rock"
"19,Conference USA,14,225,237,.487,-4.13,-2.70,0,1,0,Alabama-Birmingham,Middle Tennessee"
"20,Metro Atlantic Athletic Conference,11,167,188,.470,-4.51,-3.46,0,1,0,Monmouth,Iona"
"21,Southern Conference,10,170,165,.507,-5.38,-3.40,0,1,0,Chattanooga,Chattanooga"
"22,Ohio Valley Conference,12,184,198,.482,-5.41,-3.40,0,1,0,Belmont (East),Austin Peay"
"23,Big South Conference,11,175,176,.499,-6.54,-4.36,0,1,0,High Point Winthrop,North Carolina-Asheville"
"24,Western Athletic Conference,8,125,131,.488,-6.66,-3.85,0,1,0,New Mexico State,Cal State Bakersfield"
"25,Atlantic Sun Conference,8,124,142,.466,-7.21,-4.07,0,1,0,North Florida,Florida Gulf Coast"
"26,Big Sky Conference,12,181,203,.471,-7.94,-5.05,0,1,0,Weber State,Weber State"
"27,Patriot League,10,146,173,.458,-8.55,-6.21,0,1,0,Bucknell,Holy Cross"
"28,America East Conference,9,137,153,.472,-8.83,-6.24,0,1,0,Stony Brook,Stony Brook"
"29,Southland Conference,13,186,221,.457,-10.68,-6.56,0,1,0,Stephen F. Austin,Stephen F. Austin"
"30,Northeast Conference,10,133,182,.422,-12.87,-8.79,0,1,0,Wagner,Fairleigh Dickinson"
"31,Southwest Athletic Conference,10,130,194,.401,-13.98,-8.48,0,1,0,Texas Southern,Southern"
"32,Mid-Eastern Athletic Conference,13,165,250,.398,-14.26,-8.14,0,1,0,Hampton,Hampton"
"Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ"
"1,Big 12 Conference,10,209,128,.620,14.05,9.03,5,7,0,Kansas,Iowa State"
"2,Atlantic Coast Conference,15,316,200,.612,12.33,8.06,5,6,1,Virginia,Notre Dame"
"3,Big Ten Conference,14,287,191,.600,12.22,8.02,3,7,2,Wisconsin,Wisconsin"
"4,Big East Conference,10,199,136,.594,12.20,8.51,3,6,0,Villanova,Villanova"
"5,Southeastern Conference,14,276,198,.582,10.65,7.51,2,5,1,Kentucky,Kentucky"
"6,Pacific-12 Conference,12,242,166,.593,9.74,6.59,2,4,0,Arizona,Arizona"
"7,West Coast Conference,10,179,147,.549,5.07,3.84,1,2,0,Gonzaga,Gonzaga"
"8,Atlantic 10 Conference,14,250,209,.545,4.43,3.32,1,3,0,Davidson,Virginia Commonwealth"
"9,American Athletic Conference,11,200,164,.549,3.35,2.29,1,2,0,Southern Methodist,Southern Methodist"
"10,Missouri Valley Conference,10,187,150,.555,2.25,1.50,2,2,0,Wichita State,Northern Iowa"
"11,Mountain West Conference,11,195,163,.545,1.69,1.32,0,3,0,Boise State San Diego State,Wyoming"
"12,Mid-American Conference,12,216,176,.551,1.20,-0.07,0,1,0,Buffalo (East) Kent State (East) Central Michigan (West),Buffalo"
"13,Big West Conference,9,148,143,.509,-0.76,0.09,0,1,0,UC-Davis,UC-Irvine"
"14,Conference USA,14,234,222,.513,-1.42,-0.75,0,1,0,Louisiana Tech,Alabama-Birmingham"
"15,Horizon League,9,148,146,.503,-1.69,-0.54,0,1,0,Valparaiso,Valparaiso"
"16,Ivy Group,8,122,116,.513,-1.99,-1.76,0,1,0,Harvard,"
"17,Colonial Athletic Association,10,157,168,.483,-3.02,-2.07,0,1,0,James Madison North Carolina-Wilmington Northeastern William & Mary,Northeastern"
"18,Independent,1,21,12,.636,-3.21,-4.07,0,0,0,,"
"19,Metro Atlantic Athletic Conference,11,166,189,.468,-3.75,-2.93,0,1,0,Iona,Manhattan"
"20,Sun Belt Conference,11,181,172,.513,-4.40,-3.48,0,1,0,Georgia State,Georgia State"
"21,Summit League,9,141,143,.496,-4.83,-3.21,0,1,0,North Dakota State South Dakota State,North Dakota State"
"22,Ohio Valley Conference,12,190,192,.497,-4.99,-3.44,0,1,0,Murray State (West),Belmont"
"23,Patriot League,10,154,161,.489,-5.35,-3.55,0,1,0,Bucknell,Lafayette"
"24,Southern Conference,10,157,165,.488,-6.24,-4.07,0,1,0,Wofford,Wofford"
"25,Big Sky Conference,12,178,199,.472,-7.10,-4.56,0,1,0,Eastern Washington Montana,Eastern Washington"
"26,Big South Conference,11,181,179,.503,-7.69,-5.41,0,1,0,Charleston Southern High Point,Coastal Carolina"
"27,America East Conference,9,125,160,.439,-7.79,-4.73,0,1,0,Albany (NY),Albany (NY)"
"28,Northeast Conference,10,140,175,.444,-7.99,-5.04,0,1,0,St. Francis (NY),Robert Morris"
"29,Western Athletic Conference,8,115,144,.444,-8.14,-4.59,0,1,0,New Mexico State,New Mexico State"
"30,Southland Conference,13,196,207,.486,-9.02,-5.70,0,1,0,Stephen F. Austin,Stephen F. Austin"
"31,Atlantic Sun Conference,8,125,135,.481,-9.10,-5.79,0,1,0,North Florida,North Florida"
"32,Mid-Eastern Athletic Conference,13,171,251,.405,-12.87,-7.36,0,1,0,North Carolina Central,Hampton"
"33,Southwest Athletic Conference,10,120,198,.377,-15.63,-8.87,0,1,0,Texas Southern,Texas Southern"
"Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ"
"1,Big 12 Conference,10,207,133,.609,13.24,9.09,4,7,0,Kansas,Iowa State"
"2,Big Ten Conference,12,258,159,.619,13.18,8.31,4,6,1,Michigan,Michigan State"
"3,Pacific-12 Conference,12,248,160,.608,11.22,7.59,2,6,0,Arizona,UCLA"
"4,Big East Conference,10,198,136,.593,10.90,7.21,2,4,0,Villanova,Providence"
"5,Atlantic Coast Conference,15,300,210,.588,10.80,7.21,4,6,0,Virginia,Virginia"
"6,Southeastern Conference,14,281,199,.585,9.66,6.47,1,3,2,Florida,Florida"
"7,American Athletic Conference,10,204,138,.596,9.08,5.79,3,4,1,Cincinnati Louisville,Louisville"
"8,Atlantic 10 Conference,13,251,176,.588,6.55,4.12,2,6,0,Saint Louis,Saint Joseph's"
"9,West Coast Conference,10,189,146,.564,5.23,3.63,0,2,0,Gonzaga,Gonzaga"
"10,Mountain West Conference,11,206,160,.563,4.64,3.26,2,2,0,San Diego State,New Mexico"
"11,Missouri Valley Conference,10,177,152,.538,1.53,0.98,1,1,0,Wichita State,Wichita State"
"12,Horizon League,9,152,145,.512,-0.50,-0.22,0,1,0,Green Bay,Milwaukee"
"13,Conference USA,16,280,248,.530,-1.15,-0.84,0,1,0,Louisiana Tech Middle Tennessee Tulsa,Tulsa"
"14,Mid-American Conference,12,208,184,.531,-1.49,-0.95,0,1,0,Buffalo (East) Toledo (West) Western Michigan (West),Western Michigan"
"15,Ivy Group,8,125,117,.517,-1.77,-1.67,0,1,0,Harvard,"
"16,Big West Conference,9,140,150,.483,-1.90,-0.73,0,1,0,UC-Irvine,Cal Poly"
"17,Metro Atlantic Athletic Conference,11,173,187,.481,-2.31,-1.53,0,1,0,Iona,Manhattan"
"18,Sun Belt Conference,10,157,160,.495,-2.75,-1.41,0,1,0,Georgia State,Louisiana"
"19,Colonial Athletic Association,9,141,152,.481,-2.78,-1.53,0,1,0,Delaware,Delaware"
"20,Summit League,8,131,125,.512,-2.92,-1.74,0,1,0,North Dakota State,North Dakota State"
"21,Patriot League,10,153,164,.483,-4.58,-3.67,0,1,0,Boston University,American"
"22,Western Athletic Conference,9,135,153,.469,-5.77,-3.41,0,1,0,Utah Valley,New Mexico State"
"23,Ohio Valley Conference,12,185,201,.479,-6.54,-4.28,0,1,0,Belmont (East) Murray State (West),Eastern Kentucky"
"24,Big Sky Conference,11,159,182,.466,-7.38,-4.79,0,1,0,Weber State,Weber State"
"25,Atlantic Sun Conference,10,152,172,.469,-7.47,-4.72,0,1,0,Florida Gulf Coast Mercer,Mercer"
"26,Northeast Conference,10,138,178,.437,-8.67,-5.31,0,1,0,Robert Morris,Mount St. Mary's"
"27,America East Conference,9,119,162,.423,-9.19,-5.59,0,1,0,Vermont,Albany (NY)"
"28,Big South Conference,12,186,206,.474,-9.84,-6.56,0,1,0,High Point (North) Coastal Carolina (South),Coastal Carolina"
"29,Southland Conference,14,206,226,.477,-10.37,-6.20,0,1,0,Stephen F. Austin,Stephen F. Austin"
"30,Southern Conference,11,162,195,.454,-10.38,-6.54,0,1,0,Davidson,Wofford"
"31,Mid-Eastern Athletic Conference,13,167,246,.404,-11.13,-6.53,0,1,0,North Carolina Central,North Carolina Central"
"32,Independent,1,13,16,.448,-12.52,-7.48,0,0,0,,"
"33,Southwest Athletic Conference,10,132,184,.418,-14.47,-9.03,0,1,0,Southern,Texas Southern"
"1,Big Ten Conference,12,262,159,.622,14.14,9.21,5,7,1,Indiana,Ohio State"
"2,Big East Conference,15,316,191,.623,11.81,7.29,6,8,2,Georgetown Louisville Marquette,Louisville"
"3,Atlantic Coast Conference,12,245,163,.600,10.07,6.44,2,4,0,Miami (FL),Miami (FL)"
"4,Pacific-12 Conference,12,237,168,.585,9.88,6.70,3,5,0,UCLA,Oregon"
"5,Big 12 Conference,10,199,139,.589,9.49,6.29,3,5,0,Kansas Kansas State,Kansas"
"6,Mountain West Conference,9,185,113,.621,8.40,5.61,1,5,0,New Mexico,New Mexico"
"7,Southeastern Conference,14,263,203,.564,8.22,5.09,1,3,0,Florida,Mississippi"
"8,Atlantic 10 Conference,16,293,225,.566,6.08,4.23,1,5,0,Saint Louis,Saint Louis"
"9,Missouri Valley Conference,10,194,150,.564,6.07,4.28,1,2,1,Creighton,Creighton"
"10,West Coast Conference,9,175,130,.574,4.62,2.84,1,2,0,Gonzaga,Gonzaga"
"11,Conference USA,12,225,175,.563,1.44,0.40,1,1,0,Memphis,Memphis"
"12,Western Athletic Conference,10,164,156,.513,-0.48,-0.62,0,1,0,Denver Louisiana Tech,New Mexico State"
"13,Horizon League,9,160,140,.533,-0.54,-0.57,0,1,0,Valparaiso,Valparaiso"
"14,Metro Atlantic Athletic Conference,10,161,169,.488,-2.11,-1.47,0,1,0,Niagara,Iona"
"15,Mid-American Conference,12,191,196,.494,-2.30,-1.36,0,1,0,Akron (East) Ohio (East) Western Michigan (West),Akron"
"16,Big West Conference,10,156,169,.480,-2.73,-0.95,0,1,0,Long Beach State,Pacific"
"17,Sun Belt Conference,11,174,178,.494,-3.45,-2.48,0,2,0,Middle Tennessee (East) Arkansas State (West),Western Kentucky"
"18,Patriot League,8,125,128,.494,-3.54,-3.04,0,1,0,Bucknell,Bucknell"
"19,Colonial Athletic Association,11,163,192,.459,-3.58,-1.85,0,1,0,Northeastern,James Madison"
"20,Ivy Group,8,107,128,.455,-3.73,-1.98,0,1,0,Harvard,"
"21,Ohio Valley Conference,12,188,187,.501,-5.25,-3.57,0,1,0,Belmont (East) Murray State (West),Belmont"
"22,America East Conference,9,135,147,.479,-5.63,-4.16,0,1,0,Stony Brook,Albany (NY)"
"23,Summit League,9,138,153,.474,-6.43,-3.55,0,1,0,South Dakota State Western Illinois,South Dakota State"
"24,Atlantic Sun Conference,10,144,176,.450,-7.25,-3.92,0,1,0,Mercer,Florida Gulf Coast"
"25,Northeast Conference,12,171,203,.457,-7.33,-4.60,0,1,0,Robert Morris,Long Island University"
"26,Southern Conference,12,175,212,.452,-7.61,-4.81,0,1,0,Elon (North) Davidson (South),Davidson"
"27,Southland Conference,10,145,170,.460,-7.79,-4.50,0,1,0,Stephen F. Austin,Northwestern State"
"28,Big Sky Conference,11,157,187,.456,-8.22,-5.29,0,1,0,Montana,Montana"
"29,Big South Conference,12,172,214,.446,-8.86,-5.67,0,1,0,High Point (North) Charleston Southern (South),Liberty"
"30,Mid-Eastern Athletic Conference,13,173,244,.415,-10.52,-6.02,0,1,0,Norfolk State,North Carolina A&T"
"31,Great West Conference,5,71,86,.452,-12.00,-7.43,0,0,0,NJIT,Chicago State"
"32,Independent,2,22,34,.393,-13.85,-4.15,0,0,0,,"
"33,Southwest Athletic Conference,10,118,192,.381,-15.28,-8.88,0,1,0,Texas Southern,Southern"
"Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ"
"1,Big Ten Conference,12,260,157,.624,12.77,8.18,5,6,1,Michigan Michigan State Ohio State,Michigan State"
"2,Big 12 Conference,10,209,131,.615,11.71,7.49,3,6,1,Kansas,Missouri"
"3,Big East Conference,16,334,217,.606,10.66,6.81,4,9,1,Syracuse,Louisville"
"4,Southeastern Conference,12,246,160,.606,10.09,6.24,3,4,1,Kentucky,Vanderbilt"
"5,Atlantic Coast Conference,12,232,166,.583,8.74,5.76,3,5,0,North Carolina,Florida State"
"6,Mountain West Conference,8,165,96,.632,7.04,3.36,3,4,0,New Mexico San Diego State,New Mexico"
"7,Pacific-12 Conference,12,226,185,.550,6.74,4.83,0,2,0,Washington,Colorado"
"8,Atlantic 10 Conference,14,251,205,.550,5.28,3.59,0,4,0,Temple,St. Bonaventure"
"9,Missouri Valley Conference,10,180,151,.544,4.85,3.48,2,2,0,Wichita State,Creighton"
"10,Conference USA,12,218,172,.559,4.15,2.48,0,2,0,Memphis,Memphis"
"11,West Coast Conference,9,158,132,.545,1.63,1.33,1,3,0,Saint Mary's (CA),Saint Mary's (CA)"
"12,Western Athletic Conference,8,150,121,.554,0.42,-0.40,0,1,0,Nevada,New Mexico State"
"13,Colonial Athletic Association,12,197,200,.496,-1.41,-0.86,0,1,0,Drexel,Virginia Commonwealth"
"14,Horizon League,10,167,160,.511,-1.41,-0.21,0,1,0,Valparaiso,Detroit Mercy"
"15,Mid-American Conference,12,195,197,.497,-1.56,-0.91,0,1,0,Akron (East) Eastern Michigan (West),Ohio"
"16,Sun Belt Conference,12,177,197,.473,-2.26,-0.88,0,1,0,Middle Tennessee (East) Little Rock (West),Western Kentucky"
"17,Ivy Group,8,125,119,.512,-2.42,-2.08,0,1,0,Harvard,"
"18,Atlantic Sun Conference,10,156,167,.483,-2.54,-1.03,0,1,0,Belmont,Belmont"
"19,Summit League,10,168,153,.523,-2.72,-1.94,0,1,0,Oral Roberts,South Dakota State"
"20,Metro Atlantic Athletic Conference,10,157,169,.482,-4.10,-2.85,0,2,0,Iona,Loyola (MD)"
"21,Big West Conference,9,133,148,.473,-4.29,-2.33,0,1,0,Long Beach State,Long Beach State"
"22,Southern Conference,12,179,200,.472,-5.83,-3.13,0,1,0,North Carolina-Greensboro (North) Davidson (South),Davidson"
"23,Patriot League,8,123,128,.490,-6.16,-4.75,0,1,0,Bucknell,Lehigh"
"24,Big Sky Conference,9,127,145,.467,-6.20,-3.69,0,1,0,Montana,Montana"
"25,Big South Conference,11,167,182,.479,-6.22,-4.25,0,1,0,North Carolina-Asheville,North Carolina-Asheville"
"26,Ohio Valley Conference,11,172,175,.496,-6.30,-4.05,1,1,0,Murray State,Murray State"
"27,Southland Conference,12,180,197,.477,-7.31,-4.47,0,1,0,Lamar (East) Texas-Arlington (West),Lamar"
"28,Northeast Conference,12,167,207,.447,-7.42,-4.99,0,1,0,Long Island University,Long Island University"
"29,America East Conference,9,121,163,.426,-8.80,-6.12,0,1,0,Stony Brook,Vermont"
"30,Independent,3,38,51,.427,-10.60,-4.13,0,0,0,,"
"31,Mid-Eastern Athletic Conference,13,176,238,.425,-10.63,-6.05,0,1,0,Savannah State,Norfolk State"
"32,Great West Conference,6,77,112,.407,-12.73,-5.90,0,0,0,Utah Valley,North Dakota"
"33,Southwest Athletic Conference,10,118,195,.377,-16.71,-9.40,0,1,0,Mississippi Valley State,Mississippi Valley State"
