"Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48"
"133,2006,NBA,1,13,PHI,Thabo Sefolosha\sefolth01,22.062,G-F,ch,,2007,2019,828,22.5,5.9,3.8,1.4,1.1,0.4,.450,.501,.352,.735,38.6,.100"
"134,2003,NBA,2,45,CHI,Matt Bonner\bonnema01,23.087,F,us,University of Florida,2005,2016,792,16.9,5.8,3.0,0.7,0.4,0.3,.464,.516,.414,.780,38.5,.138"
"135,2003,NBA,1,29,DAL,Josh Howard\howarjo01,23.064,F-G,us,Wake Forest University,2004,2013,507,30.3,14.3,5.7,1.6,1.0,0.5,.448,.471,.332,.770,38.0,.119"
"136,2003,NBA,1,28,SAS,Leandro Barbosa\barbole01,20.215,G,br,,2004,2017,850,21.6,10.6,2.0,2.1,0.8,0.1,.459,.498,.387,.821,37.4,.098"
"137,2005,NBA,1,10,LAL,Andrew Bynum\bynuman01,17.249,C,us,,2006,2014,418,25.6,11.5,7.7,1.2,0.3,1.6,.556,.557,.111,.690,37.4,.168"
"138,2006,NBA,1,6,MIN,Brandon Roy\roybr01,21.345,G,us,University of Washington,2007,2013,326,35.5,18.8,4.3,4.7,1.0,0.2,.459,.485,.348,.800,37.4,.155"
"139,2008,NBA,1,1,CHI,Derrick Rose\rosede01,19.270,G,us,University of Memphis,2009,2019,546,33.2,18.8,3.5,5.6,0.8,0.3,.453,.481,.304,.824,37.2,.099"
"140,2010,NBA,1,18,OKC,Eric Bledsoe\bledser01,20.202,G,us,University of Kentucky,2011,2019,570,27.9,14.1,3.9,4.8,1.5,0.5,.455,.503,.336,.794,37.0,.112"
"141,2005,NBA,1,22,DEN,Jarrett Jack\jackja01,21.249,G,us,Georgia Institute of Technology,2006,2018,867,27.8,10.8,2.9,4.6,0.8,0.1,.440,.470,.343,.855,36.8,.073"
"142,2010,NBA,2,33,SAC,Hassan Whiteside\whiteha01,21.016,C,us,Marshall University,2011,2019,343,26.0,13.4,11.4,0.6,0.6,2.3,.574,.576,.222,.593,36.8,.198"
"143,2012,NBA,1,3,WAS,Bradley Beal\bealbr01,19.005,G,us,University of Florida,2013,2019,488,34.4,19.8,3.9,3.7,1.1,0.4,.452,.488,.384,.798,36.4,.104"
"144,2003,NBA,1,14,SEA,Luke Ridnour\ridnolu01,22.138,G,us,University of Oregon,2004,2015,830,26.1,9.3,2.3,4.5,1.0,0.2,.431,.458,.349,.862,36.0,.080"
"145,2007,NBA,2,31,SEA,Carl Landry\landrca01,23.288,F,us,Purdue University,2008,2016,513,22.5,10.8,4.9,0.7,0.4,0.4,.535,.537,.300,.785,35.9,.149"
"146,2008,NBA,1,17,TOR,Roy Hibbert\hibbero01,21.203,C,us,Georgetown University,2009,2017,662,24.8,10.0,6.3,1.3,0.4,1.7,.465,.466,.250,.755,35.9,.105"
"147,2000,NBA,1,21,TOR,Morris Peterson\petermo01,22.312,F,us,Michigan State University,2001,2011,711,27.2,10.7,3.5,1.5,0.9,0.2,.418,.450,.373,.773,35.7,.089"
"148,2002,NBA,1,26,SAS,John Salmons\salmojo01,22.202,G,us,University of Miami,2003,2015,895,26.4,9.3,2.9,2.4,0.8,0.3,.431,.457,.366,.799,33.9,.069"
"149,2008,NBA,1,7,LAC,Eric Gordon\gordoer01,19.188,G,us,Indiana University,2009,2019,629,33.0,16.7,2.5,2.9,0.9,0.3,.428,.475,.374,.814,33.6,.078"
"150,2007,NBA,1,27,DET,Arron Afflalo\afflaar01,21.261,G-F,us,University of California Los Angeles,2008,2018,762,27.3,10.8,2.9,1.8,0.4,0.2,.450,.481,.386,.825,33.5,.077"
"151,2004,NBA,1,3,CHI,Ben Gordon\gordobe01,21.087,G,gb,University of Connecticut,2005,2015,744,27.4,14.9,2.5,2.5,0.7,0.2,.432,.447,.401,.857,33.3,.078"
"152,2000,NBA,1,18,LAC,Quentin Richardson\richaqu01,20.081,G,us,DePaul University,2001,2013,783,26.5,10.3,4.7,1.5,0.8,0.2,.397,.431,.355,.718,32.8,.076"
"153,2008,NBA,2,34,MIN,Mario Chalmers\chalmma01,22.044,G,us,University of Kansas,2009,2018,646,26.7,8.9,2.5,3.7,1.5,0.2,.417,.475,.351,.793,32.3,.090"
"154,2009,NBA,1,5,MIN,Ricky Rubio\rubiori01,18.252,G,es,,2012,2019,498,30.9,11.1,4.2,7.7,1.9,0.1,.388,.413,.322,.838,32.2,.101"
"155,2008,NBA,1,18,WAS,JaVale McGee\mcgeeja01,20.164,C,us,University of Nevada Reno,2009,2019,633,17.4,8.0,5.1,0.4,0.4,1.6,.570,.573,.074,.588,31.9,.139"
"156,2004,NBA,1,28,SAS,Beno Udrih\udrihbe01,21.360,G,si,,2005,2017,831,21.9,8.4,2.1,3.4,0.7,0.1,.463,.496,.349,.833,31.4,.083"
"157,2014,NBA,1,25,HOU,Clint Capela\capelca01,20.044,C,ch,,2015,2019,295,25.1,12.0,9.2,0.9,0.7,1.4,.635,.635,.000,.525,31.4,.204"
"158,2012,NBA,2,39,DET,Khris Middleton\middlkh01,20.326,F-G,us,Texas A&M University,2013,2019,455,31.7,15.7,4.4,3.2,1.3,0.2,.451,.484,.388,.870,31.0,.103"
"159,2013,NBA,1,22,BRK,Mason Plumlee\plumlma01,23.120,C-F,us,Duke University,2014,2019,471,22.1,8.5,6.3,2.2,0.8,1.0,.570,.575,.074,.565,31.0,.143"
"160,2004,NBA,1,11,GSW,Andris Biedri?š\biedran01,18.088,C,lv,,2005,2014,516,21.6,6.3,7.0,0.9,0.6,1.1,.594,.595,.000,.500,30.7,.132"
"161,2006,NBA,1,14,UTA,Ronnie Brewer\brewero02,21.105,G-F,us,University of Arkansas,2007,2014,502,23.0,7.8,2.8,1.6,1.2,0.2,.490,.520,.254,.675,30.4,.127"
"162,2004,NBA,1,14,UTA,Kris Humphries\humphkr01,19.143,F-C,us,University of Minnesota,2005,2017,800,17.8,6.7,5.4,0.7,0.4,0.6,.463,.471,.293,.700,30.3,.102"
"163,2005,NBA,2,34,UTA,C.J. Miles\milescj01,18.107,G-F,us,,2006,2019,838,20.4,9.6,2.4,1.1,0.7,0.3,.412,.464,.359,.810,30.0,.084"
"164,2006,NBA,2,35,TOR,P.J. Tucker\tuckepj01,21.059,F,us,University of Texas at Austin,2007,2019,582,28.7,7.4,5.7,1.4,1.2,0.3,.422,.469,.361,.744,30.0,.086"
"165,2004,NBA,1,4,LAC,Shaun Livingston\livinsh01,18.291,G,us,,2005,2019,833,20.6,6.3,2.4,3.0,0.7,0.4,.486,.491,.178,.794,29.9,.084"
"166,2009,NBA,1,10,MIL,Brandon Jennings\jennibr01,19.280,G,us,,2010,2018,555,30.3,14.1,3.0,5.7,1.2,0.2,.387,.412,.345,.796,29.9,.085"
"167,2012,NBA,1,7,GSW,Harrison Barnes\barneha02,20.034,F,us,University of North Carolina,2013,2019,540,30.7,13.6,4.9,1.5,0.7,0.2,.446,.475,.374,.795,29.7,.086"
"168,2007,NBA,1,18,GSW,Marco Belinelli\belinma01,21.100,G-F,it,,2008,2019,803,23.2,10.0,2.1,1.7,0.6,0.1,.425,.467,.376,.847,29.6,.076"
"169,2009,NBA,1,27,MEM,DeMarre Carroll\carrode01,22.339,F,us,University of Missouri,2010,2019,554,24.2,9.1,4.3,1.3,0.9,0.3,.430,.485,.360,.743,29.3,.105"
"170,2003,NBA,2,38,WAS,Steve Blake\blakest01,23.126,G,us,University of Maryland,2004,2016,870,23.9,6.5,2.1,4.0,0.7,0.1,.401,.420,.383,.779,29.1,.067"
"171,2013,NBA,1,3,WAS,Otto Porter\porteot01,20.029,F,us,Georgetown University,2014,2019,399,26.9,11.0,5.0,1.5,1.2,0.4,.483,.529,.405,.793,29.1,.130"
"172,2011,NBA,2,38,HOU,Chandler Parsons\parsoch01,22.246,F,us,University of Florida,2012,2019,435,30.3,12.8,4.5,2.8,0.9,0.3,.462,.522,.373,.713,29.0,.106"
"173,2007,NBA,2,56,MIL,Ramon Sessions\sessira01,21.083,G,us,University of Nevada Reno,2008,2018,691,23.3,10.3,2.7,4.1,0.7,0.1,.434,.450,.316,.791,28.8,.086"
"174,2007,NBA,1,15,DET,Rodney Stuckey\stuckro01,21.073,G,us,Eastern Washington University,2008,2017,651,27.5,12.6,2.9,3.6,0.9,0.1,.423,.442,.300,.824,28.7,.077"
"175,2010,NBA,1,14,HOU,Patrick Patterson\pattepa01,21.107,F,us,University of Kentucky,2011,2019,622,21.8,6.9,4.1,1.1,0.6,0.5,.450,.500,.367,.749,28.7,.102"
"176,2012,NBA,2,34,CLE,Jae Crowder\crowdja01,21.363,F,us,Marquette University,2013,2019,543,24.2,9.5,3.9,1.4,1.0,0.3,.423,.513,.339,.778,28.7,.105"
"177,2009,NBA,1,4,SAC,Tyreke Evans\evansty01,19.284,G-F,us,University of Memphis,2010,2019,594,30.7,15.7,4.6,4.8,1.2,0.4,.440,.468,.323,.757,28.4,.075"
"178,2007,NBA,1,23,NYK,Wilson Chandler\chandwi01,20.054,F,us,DePaul University,2008,2019,641,30.5,12.9,5.3,1.8,0.7,0.6,.444,.496,.343,.768,28.3,.069"
"179,2008,NBA,1,23,UTA,Kosta Koufos\koufoko01,19.127,C,us,Ohio State University,2009,2019,686,16.4,5.7,5.0,0.5,0.4,0.7,.534,.535,.000,.582,28.3,.120"
"180,2011,NBA,1,24,OKC,Reggie Jackson\jacksre01,21.073,G,it,Boston College,2012,2019,530,25.2,12.9,3.0,4.4,0.7,0.1,.429,.471,.333,.859,28.2,.101"
"181,2003,NBA,1,27,MEM,Kendrick Perkins\perkike01,18.232,C,us,,2004,2018,782,21.9,5.4,5.8,1.0,0.3,1.2,.530,.532,.000,.594,27.9,.078"
"182,2013,NBA,1,10,POR,CJ McCollum\mccolcj01,21.287,G,us,Lehigh University,2014,2019,411,30.0,17.8,3.1,2.9,0.9,0.3,.455,.482,.401,.839,27.9,.109"
"183,2005,NBA,1,21,PHO,Nate Robinson\robinna01,21.033,G,us,University of Washington,2006,2016,618,22.5,11.0,2.3,3.0,0.9,0.1,.423,.463,.360,.796,27.8,.096"
"184,2000,NBA,1,19,CHH,Jamaal Magloire\magloja01,22.044,C,ca,University of Kentucky,2001,2012,680,21.5,7.2,6.5,0.6,0.3,0.9,.480,.481,.000,.639,27.7,.091"
"185,2009,NBA,2,55,POR,Patty Mills\millspa02,20.323,G,au,Saint Mary's College of California,2010,2019,605,19.0,8.4,1.7,2.4,0.6,0.1,.431,.477,.391,.849,27.5,.115"
"186,2010,NBA,1,8,LAC,Al-Farouq Aminu\aminual01,19.281,F,us,Wake Forest University,2011,2019,670,25.2,7.7,6.1,1.2,1.0,0.6,.423,.469,.337,.747,27.4,.078"
"187,2002,NBA,1,8,LAC,Chris Wilcox\wilcoch01,19.301,F,us,University of Maryland,2003,2013,628,19.9,8.2,4.9,0.7,0.5,0.4,.541,.543,.000,.643,26.9,.103"
"188,2011,NBA,1,14,HOU,Marcus Morris\morrima03,21.299,F,us,University of Kansas,2012,2019,545,26.5,11.5,4.6,1.5,0.7,0.3,.431,.476,.360,.747,26.8,.089"
"189,2001,NBA,1,12,SEA,Vladimir Radmanovi?\radmavl01,20.225,F,ba,,2002,2013,737,21.9,8.0,3.8,1.4,0.7,0.4,.415,.451,.378,.758,26.5,.079"
"190,2007,NBA,1,8,CHA,Brandan Wright\wrighbr03,19.271,F-C,us,University of North Carolina,2008,2018,428,16.2,7.0,3.6,0.5,0.5,1.0,.607,.610,.000,.674,26.2,.181"
"191,2010,NBA,1,23,MIN,Trevor Booker\booketr01,22.217,F,us,Clemson University,2011,2018,532,20.4,6.9,5.5,1.1,0.7,0.5,.515,.534,.305,.636,26.2,.116"
"192,2008,NBA,2,37,MIL,Luc Mbah a Moute\mbahalu01,21.296,F,cm,University of California Los Angeles,2009,2019,686,23.3,6.4,4.1,0.9,0.9,0.4,.454,.478,.335,.660,26.0,.078"
"193,2004,NBA,1,19,MIA,Dorell Wright\wrighdo01,18.209,F-G,us,,2005,2015,549,22.4,8.4,3.8,1.5,0.8,0.5,.424,.469,.365,.806,25.9,.101"
"194,2008,NBA,1,16,PHI,Marreese Speights\speigma01,20.332,C-F,us,University of Florida,2009,2018,705,15.1,7.9,4.1,0.7,0.3,0.5,.459,.475,.356,.797,25.8,.116"
"195,2009,NBA,2,39,DET,Jonas Jerebko\jerebjo01,22.121,F,se,,2010,2019,635,17.8,6.2,4.0,0.8,0.5,0.2,.457,.507,.363,.770,25.8,.109"
"196,2004,NBA,1,6,ATL,Josh Childress\childjo01,21.010,G-F,us,Stanford University,2005,2014,391,26.7,9.1,4.7,1.6,0.9,0.5,.522,.548,.329,.779,25.7,.118"
"197,2007,NBA,1,28,SAS,Tiago Splitter\splitti01,22.183,F-C,br,,2011,2017,355,19.2,7.9,5.0,1.2,0.6,0.6,.555,.558,.143,.697,25.3,.178"
"198,2003,NBA,2,49,IND,James Jones\jonesja02,22.270,F-G,us,University of Miami,2004,2017,709,15.7,5.2,1.8,0.5,0.3,0.3,.401,.402,.401,.840,25.2,.109"
"199,2004,NBA,2,38,CHI,Chris Duhon\duhonch01,21.303,G,us,Duke University,2005,2013,606,25.6,6.5,2.3,4.4,0.8,0.1,.393,.426,.363,.784,25.0,.077"
"200,2009,NBA,2,33,POR,Dante Cunningham\cunnida01,22.070,F,us,Villanova University,2010,2019,715,20.8,5.8,3.7,0.7,0.6,0.5,.469,.494,.345,.649,24.9,.080"
"201,2013,NBA,1,13,DAL,Kelly Olynyk\olynyke01,22.075,C-F,ca,Gonzaga University,2014,2019,433,21.6,9.9,4.9,1.9,0.7,0.5,.478,.550,.367,.765,24.9,.128"
"202,2009,NBA,2,42,LAL,Patrick Beverley\beverpa01,20.353,G,us,University of Arkansas,2013,2019,380,28.3,9.0,4.3,3.5,1.2,0.4,.412,.452,.380,.770,24.8,.110"
"203,2000,NBA,2,38,HOU,Eduardo Nájera\najered01,23.358,F,mx,University of Oklahoma,2001,2012,619,18.1,4.9,3.7,0.8,0.7,0.4,.481,.509,.311,.671,24.7,.106"
"204,2005,NBA,1,6,POR,Martell Webster\webstma02,18.211,G-F,us,,2006,2015,580,24.0,8.7,3.1,1.0,0.5,0.3,.418,.454,.382,.791,24.7,.085"
"205,2005,NBA,1,28,SAS,Ian Mahinmi\mahinia01,18.240,C,fr,,2008,2019,580,16.5,5.0,4.3,0.5,0.6,0.7,.537,.542,.125,.612,24.7,.124"
"206,2003,NBA,1,6,LAC,Chris Kaman\kamanch01,21.064,C,us,Central Michigan University,2004,2016,735,26.7,11.2,7.6,1.3,0.4,1.3,.489,.490,.042,.743,24.6,.060"
"207,2004,NBA,1,24,BOS,Delonte West\westde01,20.339,G,us,Saint Joseph's University,2005,2012,432,27.4,9.7,2.9,3.6,1.1,0.4,.448,.479,.372,.826,24.5,.099"
"208,2013,NBA,1,21,UTA,Gorgui Dieng\dienggo01,23.166,C,sn,University of Louisville,2014,2019,452,22.7,8.0,6.2,1.4,0.8,1.0,.505,.518,.332,.790,24.4,.114"
"209,2009,NBA,2,41,MIL,Jodie Meeks\meeksjo01,21.314,G,us,University of Kentucky,2010,2019,539,22.5,9.3,2.1,1.1,0.8,0.1,.420,.471,.373,.879,24.3,.096"
"210,2013,NBA,1,2,ORL,Victor Oladipo\oladivi01,21.059,G,us,Indiana University,2014,2019,402,33.2,17.5,4.6,4.0,1.7,0.5,.443,.482,.352,.793,24.2,.087"
"211,2013,NBA,1,4,CHA,Cody Zeller\zelleco01,20.270,C-F,us,Indiana University,2014,2019,361,22.9,8.2,5.8,1.4,0.7,0.8,.511,.516,.263,.740,24.1,.140"
"212,2008,NBA,1,12,SAC,Jason Thompson\thompja02,21.346,F-C,us,Rider University,2009,2016,588,25.2,8.9,6.6,1.1,0.5,0.7,.496,.500,.143,.657,23.8,.077"
"213,2013,NBA,1,8,DET,Kentavious Caldwell-Pope\caldwke01,20.134,G,us,University of Georgia,2014,2019,470,29.7,11.9,3.3,1.6,1.2,0.2,.412,.472,.345,.799,23.8,.082"
"214,2011,NBA,1,13,PHO,Markieff Morris\morrima02,21.299,F,us,University of Kansas,2012,2019,579,26.0,11.6,5.5,1.7,0.9,0.6,.449,.481,.338,.778,23.7,.076"
"215,2006,NBA,1,7,BOS,Randy Foye\foyera01,22.283,G,us,Villanova University,2007,2017,752,25.6,10.3,2.2,2.8,0.7,0.3,.401,.429,.366,.852,23.5,.058"
"216,2009,NBA,1,16,CHI,James Johnson\johnsja01,22.131,F,us,Wake Forest University,2010,2019,602,20.7,7.9,3.6,2.1,0.8,0.9,.477,.531,.305,.695,23.5,.090"
"217,2000,NBA,1,17,SEA,Desmond Mason\masonde01,22.266,F,us,Oklahoma State University,2001,2010,643,30.5,12.1,4.5,1.6,0.7,0.4,.449,.456,.260,.740,23.1,.056"
"218,2000,NBA,1,9,HOU,Joel Przybilla\przybjo01,20.267,C,us,University of Minnesota,2001,2013,592,19.8,3.9,6.2,0.4,0.3,1.4,.552,.553,.000,.557,23.0,.094"
"219,2011,NBA,1,7,SAC,Bismack Biyombo\biyombi01,18.303,C-F,cd,,2012,2019,583,20.3,4.9,6.3,0.5,0.3,1.4,.517,.518,.000,.571,22.9,.093"
"220,2005,NBA,1,7,TOR,Charlie Villanueva\villach01,20.313,F,us,University of Connecticut,2006,2016,656,20.7,10.4,4.6,0.8,0.5,0.5,.435,.484,.341,.772,22.6,.080"
"221,2007,NBA,1,10,SAC,Spencer Hawes\hawessp01,19.065,C-F,us,University of Washington,2008,2017,684,22.7,8.7,5.7,1.9,0.4,1.0,.457,.482,.350,.716,22.6,.070"
"222,2003,NBA,1,25,DET,Carlos Delfino\delfica01,20.306,G,ar,,2005,2013,507,22.8,8.1,3.6,1.7,0.9,0.2,.401,.438,.365,.758,22.5,.093"
"223,2007,NBA,1,7,MIN,Corey Brewer\breweco01,21.120,F-G,us,University of Florida,2008,2019,814,23.0,8.7,2.8,1.5,1.3,0.3,.425,.480,.284,.713,22.5,.058"
"224,2014,NBA,2,45,CHH,Dwight Powell\poweldw01,22.347,F-C,ca,Stanford University,2015,2019,331,17.8,7.5,4.5,0.9,0.7,0.5,.553,.612,.298,.750,22.4,.182"
"225,2015,NBA,1,11,IND,Myles Turner\turnemy01,19.097,C-F,us,University of Texas at Austin,2016,2019,280,28.1,12.9,6.7,1.2,0.7,2.1,.495,.522,.363,.771,22.1,.135"
"226,2008,NBA,1,19,CLE,J.J. Hickson\hicksjj01,19.300,F-C,us,North Carolina State University,2009,2016,534,22.3,9.5,6.8,0.8,0.5,0.6,.505,.508,.000,.617,21.9,.088"
"227,2008,NBA,1,3,MIN,O.J. Mayo\mayooj01,20.239,G,us,University of Southern California,2009,2016,547,30.9,13.8,3.1,2.9,1.0,0.3,.429,.459,.373,.820,21.8,.062"
"228,2011,NBA,1,29,SAS,Cory Joseph\josepco01,19.312,G,ca,University of Texas at Austin,2012,2019,528,21.5,6.9,2.6,2.8,0.8,0.2,.444,.477,.327,.761,21.8,.092"
"229,2001,NBA,1,4,CHI,Eddy Curry\curryed01,18.209,C,us,,2002,2013,527,24.9,12.9,5.2,0.5,0.3,0.7,.545,.544,1.000,.642,21.7,.080"
"230,2002,NBA,1,24,NJN,Nenad Krsti?\krstine01,18.341,C,rs,,2005,2011,419,25.2,10.0,5.4,0.8,0.4,0.7,.494,.495,.143,.730,21.5,.098"
"231,2000,NBA,1,2,VAN,Stromile Swift\swiftst01,20.225,F,us,Louisiana State University,2001,2009,547,19.8,8.4,4.6,0.5,0.6,1.2,.473,.476,.074,.699,21.3,.095"
"232,2012,NBA,1,2,CHA,Michael Kidd-Gilchrist\kiddgmi01,18.280,F,us,University of Kentucky,2013,2019,421,25.4,8.8,5.6,1.2,0.7,0.7,.477,.483,.277,.714,21.2,.095"
"233,2008,NBA,2,36,POR,Ömer A??k\asikom01,21.363,C,tr,,2011,2018,471,19.6,5.3,7.1,0.6,0.4,0.7,.528,.528,.000,.551,20.9,.109"
"234,2001,NBA,1,1,WAS,Kwame Brown\brownkw01,19.114,F,us,,2002,2013,607,22.1,6.6,5.5,0.9,0.5,0.6,.492,.493,.111,.570,20.8,.074"
"235,2002,NBA,2,53,MIA,Rasual Butler\butlera01,23.040,F-G,us,La Salle University,2003,2016,809,21.3,7.5,2.4,0.8,0.4,0.5,.403,.437,.362,.747,20.8,.058"
"236,2011,NBA,1,23,HOU,Nikola Miroti?\mirotni01,20.137,F,me,,2015,2019,319,24.2,12.3,5.9,1.3,0.8,0.7,.423,.502,.359,.808,20.8,.129"
"237,2012,NBA,1,12,HOU,Jeremy Lamb\lambje01,20.034,G-F,us,University of Connecticut,2013,2019,435,20.5,10.2,3.7,1.5,0.7,0.3,.443,.499,.339,.853,20.8,.112"
"238,2010,NBA,1,2,PHI,Evan Turner\turneev01,21.245,G,us,Ohio State University,2011,2019,686,27.2,9.9,4.7,3.5,0.8,0.3,.435,.458,.296,.781,20.5,.053"
"239,2003,NBA,2,43,MIL,Keith Bogans\boganke01,23.050,G-F,us,University of Kentucky,2004,2014,671,21.6,6.3,2.7,1.3,0.6,0.1,.394,.442,.353,.716,20.4,.068"
"240,2005,NBA,1,19,MEM,Hakim Warrick\warriha01,22.361,F,us,Syracuse University,2006,2013,526,20.2,9.4,4.0,0.8,0.4,0.3,.490,.499,.191,.726,20.4,.092"
"241,2005,NBA,1,26,DET,Jason Maxiell\maxieja01,22.136,F,us,University of Cincinnati,2006,2015,618,18.4,5.6,4.2,0.4,0.4,0.8,.495,.496,.000,.564,20.3,.086"
"242,2009,NBA,1,13,IND,Tyler Hansbrough\hansbty01,23.240,F,us,University of North Carolina,2010,2016,428,16.9,6.7,4.2,0.4,0.5,0.2,.439,.442,.136,.738,20.2,.134"
"243,2001,NBA,1,18,HOU,Jason Collins\collija04,22.213,C,us,Stanford University,2002,2014,735,20.4,3.6,3.7,0.9,0.5,0.5,.411,.414,.206,.647,20.1,.064"
"244,2001,NBA,2,42,SEA,Bobby Simmons\simmobo01,21.030,G-F,us,DePaul University,2002,2012,466,24.7,9.0,3.8,1.5,0.8,0.2,.437,.452,.396,.823,20.1,.084"
"245,2000,NBA,2,37,MIA,Eddie House\houseed01,22.051,G,us,Arizona State University,2001,2011,717,17.3,7.5,1.7,1.6,0.7,0.1,.409,.423,.390,.851,20.0,.077"
"246,2009,NBA,2,43,MIA,Marcus Thornton\thornma01,22.026,G,us,Louisiana State University,2010,2017,483,23.4,11.9,2.8,1.4,0.8,0.1,.425,.471,.358,.830,20.0,.085"
"247,2003,NBA,1,11,GSW,Mickaël Piétrus\pietrmi01,21.144,G-F,gp,,2004,2013,557,21.5,8.3,3.1,0.8,0.7,0.4,.425,.495,.355,.665,19.7,.079"
"248,2009,NBA,1,23,SAC,Omri Casspi\casspom01,21.008,F,il,,2010,2019,588,20.3,7.9,4.0,1.1,0.6,0.2,.454,.502,.368,.678,19.6,.078"
"249,2005,NBA,2,50,BOS,Ryan Gomes\gomesry01,22.306,F,us,Providence College,2006,2014,487,27.6,10.1,4.6,1.5,0.7,0.2,.445,.473,.349,.799,19.4,.069"
"250,2012,NBA,1,20,DEN,Evan Fournier\fournev01,19.247,G-F,fr,,2013,2019,457,28.0,13.5,2.8,2.5,0.8,0.1,.446,.498,.371,.805,19.4,.073"
"251,2012,NBA,1,14,MIL,John Henson\hensojo01,21.188,C-F,us,University of North Carolina,2013,2019,405,20.1,7.8,5.4,1.1,0.5,1.5,.539,.544,.273,.572,19.3,.114"
"252,2001,NBA,2,40,SEA,Earl Watson\watsoea01,22.021,G,us,University of California Los Angeles,2002,2014,878,22.2,6.4,2.3,4.4,1.0,0.2,.411,.449,.324,.703,19.2,.047"
"253,2005,NBA,2,37,LAL,Ronny Turiaf\turiaro01,22.172,F,mq,Gonzaga University,2006,2015,473,17.0,4.7,3.7,1.3,0.4,1.3,.533,.535,.000,.636,19.2,.115"
"254,2005,NBA,2,49,WAS,Andray Blatche\blatcan01,18.315,F,us,,2006,2014,564,22.1,10.1,5.4,1.4,0.9,0.8,.467,.478,.237,.725,19.2,.074"
"255,2007,NBA,1,26,HOU,Aaron Brooks\brookaa01,22.170,G,us,University of Oregon,2008,2018,645,20.8,9.7,1.7,3.0,0.6,0.1,.413,.442,.370,.837,19.2,.069"
"256,2012,NBA,1,8,TOR,Terrence Ross\rosste01,21.149,F-G,us,University of Washington,2013,2019,492,24.3,10.5,2.8,1.1,0.8,0.3,.423,.477,.374,.819,19.2,.077"
"257,2012,NBA,1,15,PHI,Maurice Harkless\harklma01,19.053,F-G,us,St. John's University,2013,2019,475,23.1,7.3,3.7,0.9,1.0,0.7,.476,.544,.323,.614,19.2,.084"
"258,2015,NBA,2,32,HOU,Montrezl Harrell\harremo01,21.155,F-C,us,University of Louisville,2016,2019,255,19.2,11.2,4.4,1.2,0.5,0.8,.629,.637,.156,.629,19.2,.188"
"259,2009,NBA,2,37,SAS,DeJuan Blair\blairde01,20.069,F-C,us,University of Pittsburgh,2010,2016,424,16.6,6.8,5.1,0.8,0.7,0.3,.524,.526,.000,.608,19.0,.129"
"260,2006,NBA,1,1,TOR,Andrea Bargnani\bargnan01,20.250,F-C,it,,2007,2016,550,28.7,14.3,4.6,1.2,0.4,0.9,.439,.470,.354,.824,18.9,.057"
"261,2008,NBA,2,31,MIN,Nikola Pekovi?\pekovni01,22.180,C,me,,2011,2016,271,24.9,12.6,6.7,0.7,0.5,0.6,.518,.518,,.760,18.8,.134"
"262,2007,NBA,1,16,WAS,Nick Young\youngni01,22.032,G-F,us,University of Southern California,2008,2019,720,22.8,11.4,2.0,1.0,0.5,0.2,.418,.446,.376,.836,18.6,.054"
"263,2007,NBA,2,35,SEA,Glen Davis\davisgl01,21.183,F-C,us,Louisiana State University,2008,2015,514,21.1,8.0,4.4,0.9,0.7,0.3,.447,.451,.182,.700,18.6,.082"
"264,2008,NBA,1,11,IND,Jerryd Bayless\bayleje01,19.315,G,us,University of Arizona,2009,2019,586,21.3,8.4,2.1,2.9,0.6,0.1,.411,.436,.361,.818,18.6,.072"
"265,2000,NBA,1,10,ORL,Keyon Dooling\doolike01,20.056,G,us,University of Missouri,2001,2013,728,19.4,7.0,1.3,2.2,0.6,0.1,.416,.443,.349,.799,18.5,.063"
"266,2007,NBA,2,37,POR,Josh McRoberts\mcrobjo01,20.125,F,us,Duke University,2008,2018,433,19.1,5.4,3.9,2.1,0.5,0.4,.463,.514,.340,.705,18.5,.107"
"267,2005,NBA,1,18,BOS,Gerald Green\greenge01,19.158,G-F,us,,2006,2019,658,19.8,9.7,2.5,0.9,0.5,0.3,.417,.469,.361,.818,18.4,.068"
"268,2011,NBA,2,31,MIA,Bojan Bogdanovi?\bogdabo02,22.071,G-F,ba,,2015,2019,399,27.8,13.3,3.4,1.4,0.6,0.1,.463,.520,.389,.846,18.4,.080"
"269,2009,NBA,1,12,CHA,Gerald Henderson\hendege02,21.204,G,us,Duke University,2010,2017,535,25.9,11.2,3.2,1.9,0.7,0.3,.440,.460,.327,.793,18.3,.063"
"270,2005,NBA,1,23,SAC,Francisco García\garcifr01,23.185,F-G,do,University of Louisville,2006,2015,549,21.6,7.9,2.6,1.4,0.8,0.7,.427,.484,.357,.799,18.2,.074"
"271,2014,NBA,2,39,PHI,Jerami Grant\grantje01,20.111,F,us,Syracuse University,2015,2019,383,24.1,8.8,3.9,1.0,0.6,1.2,.461,.522,.334,.654,18.2,.095"
"272,2014,NBA,1,4,ORL,Aaron Gordon\gordoaa01,18.288,F,us,University of Arizona,2015,2019,341,27.9,12.5,6.2,2.2,0.8,0.6,.450,.512,.321,.707,18.0,.091"
